id,name,group,power_role,unit_mass_t,unit_volume_m3,peak_power_kw,duty_cycle,generation_kwe,storage_kwh,unit_cost_musd_low,unit_cost_musd_high,default_qty,readiness_gate,earliest_window,depends_on,notes
co2_acquisition,CO2 acquisition & compression,ISRU,consumer,2.0,12,30,0.80,0,0,20,100,1,return_propellant_proven,2028,power_baseload,Intake+filter+freeze of ~95pct-CO2 air
sabatier_reactor,Sabatier reactor,ISRU,consumer,3.0,15,20,0.90,0,0,40,200,1,return_propellant_proven,2028,co2_acquisition;water_electrolysis,CO2+4H2->CH4+2H2O; exothermic hotspot mgmt
water_electrolysis,Water electrolysis,ISRU,consumer,4.0,18,150,0.85,0,0,50,250,1,return_propellant_proven,2028,power_baseload;water_supply,Largest single load; splits water to H2+O2
cryo_liquefaction,Cryo liquefaction & storage,ISRU,consumer,9.0,60,80,0.90,0,0,60,300,1,return_propellant_proven,2028,power_baseload,Turns gas into ship-grade LOX/LCH4
isru_control,ISRU control & autonomy,ISRU,consumer,0.5,3,3,1.00,0,0,30,150,1,autonomy_proven,2028,,Unattended process control under comms delay
ice_prospecting,Ice prospecting & drill,Water mining,consumer,1.0,6,5,0.20,0,0,20,80,1,water_supply,2026,,GPR/neutron/core sampling to confirm ice
excavator_rassor,Excavators (RASSOR-class),Water mining,consumer,2.0,8,20,0.30,0,0,30,150,2,water_supply,2028,power_baseload,Bucket-drum excavation of icy regolith
water_processing,Water processing & melt,Water mining,consumer,3.5,20,50,0.60,0,0,50,270,1,water_supply,2028,power_baseload,Rodwell melt or process to electrolysis-grade
power_distribution,Power distribution & cabling,Power system,passive,3.0,12,0,0.00,0,0,20,100,1,infrastructure_ready,2026,,Hubs, cabling, robotic connectors
optimus_robot,Optimus humanoid robots,Robotics,consumer,0.1,0.3,2,0.25,0,0,20,100,10,autonomy_proven,2026,,Tesla cross-leverage; assembly/inspection
rover_unpressurized,Unpressurized rovers,Robotics,consumer,1.5,6,5,0.20,0,0,60,300,2,mobility,2026,,Teleop/autonomous cargo + instrument haul
cargo_crane,Cargo offload & cranes,Robotics,consumer,5.0,25,15,0.15,0,0,80,400,1,infrastructure_ready,2026,,Offload payload from ~50m-tall ship
robotic_maint_kit,Robotic maintenance kit,Robotics,consumer,1.5,8,1,0.10,0,0,40,200,1,autonomy_proven,2026,,Spares/tools to keep robots+plant running
sintering_rig,Regolith construction / sintering rig,Site prep & construction,consumer,6.0,30,30,0.30,0,0,70,400,1,infrastructure_ready,2028,power_baseload,Sinter/print pads; radiation-shield mass
grading_tools,Grading & compactor tools,Site prep & construction,passive,1.0,5,0,0.00,0,0,30,100,1,infrastructure_ready,2028,rover_unpressurized,Level pads, berms, roads
habitat_module,Deployable habitat module,Habitat & life support,consumer,15.0,300,8,1.00,0,0,200,900,1,habitat_ready,2028,power_baseload,Pressurized volume beyond the ships
eclss_habitat,ECLSS (habitat),Habitat & life support,consumer,7.0,25,10,1.00,0,0,150,600,1,life_support_closed,2028,power_baseload,Near-closed air+water loop for ~1000 days
radiation_shelter,Radiation shelter equipment,Habitat & life support,passive,1.0,5,0,0.00,0,0,50,200,1,radiation_managed,2028,sintering_rig,Regolith-covered/water-walled storm shelter
consumables_cache,Consumables cache (food/O2/water),Consumables & caches,passive,15.0,60,0,0.00,0,0,100,300,1,life_support_closed,2028,,Pre-landed survival margin for crew
relay_ground_station,Surface relay & ground station,Comms nav & autonomy,consumer,1.5,8,4,1.00,0,0,60,250,1,comms_established,2026,,Link base to Earth across delay
landing_beacons,Precision-landing beacons,Comms nav & autonomy,consumer,0.5,3,1,1.00,0,0,30,120,1,precision_landing,2026,,Let follow-on ships cluster within meters
central_compute,Central compute & autonomy,Comms nav & autonomy,consumer,0.5,2,3,1.00,0,0,60,230,1,autonomy_proven,2026,,Rad-tolerant compute; fault mgmt; digital twin
recon_instruments,Recon & science instruments,Recon & science,consumer,1.0,6,2,0.40,0,0,50,200,1,precision_landing,2026,,Site characterization on first landings
thermal_control,Thermal control (radiators/heaters),Thermal & support,consumer,5.0,20,20,1.00,0,0,60,250,1,infrastructure_ready,2026,,Survive -90C nights; cryo line mgmt
dust_mitigation,Dust mitigation systems,Thermal & support,consumer,1.5,6,3,0.50,0,0,40,150,1,infrastructure_ready,2026,,Array cleaning, seals, electrostatic removal
logistics_kit,Logistics fasteners & jigs,Thermal & support,passive,3.0,15,0,0.00,0,0,50,200,1,infrastructure_ready,2026,,Enable unattended robotic assembly
fission_unit,Fission surface power unit,Power generation,generator,6.0,30,0,0.00,40,0,100,400,0,power_baseload,2028,,NASA FSP-class; weather-independent; auto-size
solar_module_1000m2,Solar array module (1000 m2),Power generation,generator,1.5,10,0,0.00,30,0,5,20,0,power_baseload,2026,,24h-avg electrical ~30 kW per 1000 m2; dies in dust storms
battery_module_100kwh,Battery module (100 kWh),Power storage,storage,0.67,0.33,0,0.00,0,100,2,8,0,power_baseload,2026,,~150 Wh/kg; sized by night/buffer/dust needs
